GEOID20,county,mep_published,mep_harm_lo,mep_harm_hi,rank_published,rank_harm
120570101061,Hillsborough,3967.8630,3773.8484,3773.8431,1628,1596
120570101062,Hillsborough,3707.9171,3525.7170,3525.6781,1661,1641
120570101063,Hillsborough,4368.1912,4152.7299,4152.7046,1569,1527
120570101064,Hillsborough,4493.6017,4243.1551,4243.0466,1540,1508
120570101071,Hillsborough,2285.0303,2139.0863,2139.0724,1838,1817
120570101072,Hillsborough,3871.3949,3662.7241,3662.7228,1638,1617
120570101073,Hillsborough,3609.5082,3410.2597,3410.2219,1675,1655
120570101081,Hillsborough,1728.9193,1585.6853,1585.6802,1891,1883
120570101082,Hillsborough,2503.1363,2378.7153,2378.7045,1811,1784
120570102031,Hillsborough,9525.7598,8960.4338,8960.3550,597,476
120570102032,Hillsborough,8385.3683,7696.5732,7696.3588,889,755
120570102041,Hillsborough,9498.1086,8963.2120,8963.1828,603,474
120570102042,Hillsborough,8856.8101,8306.0485,8305.9927,779,617
120570102043,Hillsborough,9130.7093,8457.2272,8457.1506,701,587
120570102101,Hillsborough,4081.0795,3818.6861,3818.5844,1609,1582
120570102102,Hillsborough,3958.9024,3788.3377,3788.2361,1629,1592
120570102111,Hillsborough,5150.1957,4919.8440,4919.7511,1442,1389
120570102112,Hillsborough,5293.3068,5064.2323,5064.1861,1415,1361
120570102113,Hillsborough,5576.4657,5127.2663,5126.4719,1367,1354
120570102121,Hillsborough,4563.9446,4381.7885,4381.7600,1528,1479
120570102122,Hillsborough,4648.7552,4446.3964,4446.3082,1502,1466
120570102131,Hillsborough,7383.1382,6905.6798,6905.5135,1093,989
120570102151,Hillsborough,3990.6487,3817.8550,3817.6807,1622,1583
120570102152,Hillsborough,3713.2753,3453.3065,3453.2437,1659,1649
120570102161,Hillsborough,5942.5726,5380.2845,5378.6213,1317,1302
120570102162,Hillsborough,4856.6981,4646.7874,4646.7521,1477,1441
120570102171,Hillsborough,5393.3261,5162.6359,5162.4719,1400,1346
120570102172,Hillsborough,5029.3621,4820.4754,4820.3408,1459,1408
120570102181,Hillsborough,5345.3843,5116.7980,5116.6543,1408,1355
120570102182,Hillsborough,5273.7388,5052.4196,5052.4118,1419,1366
120570102183,Hillsborough,6152.0280,5894.9458,5894.9134,1272,1210
