roadway,begin_post,end_post,facility,match_m,class_is_a_guess
15120000,10.169,10.566,principal arterial,2,no
10130000,11.05,12.024,principal arterial,14,no
08000005,0.0,2.856,collector,444,no
08080000,8.121,11.98,principal arterial,860,yes
15000033,1.046,2.982,collector,36,no
02050000,3.443,6.811,freeway,380,no
02050000,15.906,16.668,collector,224,no
10790000,0.0,1.895,collector,25,no
02000025,0.0,2.412,collector,639,yes
15061000,0.942,1.764,principal arterial,15,no
10250000,1.153,3.189,minor arterial,68,no
10000350,1.092,3.396,minor arterial,51,no
14570000,5.137,8.115,principal arterial,188,no
14501000,1.381,6.363,collector,360,no
14000087,0.0,9.005,principal arterial,75,no
10821000,0.499,4.007,minor arterial,15,no
08010000,8.142,8.975,principal arterial,17,no
10000005,0.0,5.904,collector,289,no
10030000,3.522,4.057,principal arterial,31,no
15030000,9.3,10.029,collector,21,no
10000365,0.0,1.569,collector,18,no
10670000,0.0,5.488,minor arterial,128,no
10504000,0.0,0.494,minor arterial,31,no
10590000,0.0,3.809,collector,218,no
10140000,7.58,8.048,principal arterial,29,no
10000146,0.0,5.942,minor arterial,35,no
08020000,1.087,4.76,freeway,88,no
10080001,5.488,9.803,collector,163,no
15080500,0.0,4.712,collector,431,no
15000114,0.0,4.719,collector,250,no
15010000,6.068,7.657,principal arterial,26,no
14000054,0.0,2.113,collector,203,no
10528000,0.0,4.102,collector,755,yes
15010000,11.247,13.518,principal arterial,13,no
08470000,0.0,3.46,freeway,325,no
10290000,4.019,6.184,principal arterial,10,no
14070001,19.849,21.824,minor arterial,262,no
14040000,0.0,0.84,freeway,140,no
15509000,0.0,2.519,minor arterial,114,no
